Anim	Standing	Active	Lying	%HeadDown	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123	X_Act	Y_Act	Steps	distance(m)	VarXY	DiffXY	MeanXY	prev_Active1	prev_Active2	prev_Active3	prev_Standing1	prev_Standing2	prev_Standing3	prev_Lying1	prev_Lying2	prev_Lying3	prev_steps1	prev_steps2	prev_steps3	prev_headdown1	prev_headdown2	prev_headdown3	Activity
a8	0.3854	0.0546	0.56	0	154.4	165.9	173.9	166.8	179.9	6.9	16.8	6	29.9	50.2	26	2	12	3.22	16.97056274847714	24	14	0.0862	0.1566	0.1804	0.9138	0.8434	0.8196	0	0	0	18	35	39	35	14	63	R
a1	0.9946	0.0054	0	87	11.3	163.1	174.1	171.6	214.9	147.6	21.1	198.2	313.6	522.1	32	31	1	8.03	0.7071067811865476	1	31.5	0.0324	0.1302	0.0162	0.9676	0.8698	0.9838	0	0	0	7	26	3	9	16	67	G
a8	0.9484	0.0516	0	89	20.2	154.7	168.9	189.4	241.6	38.4	164.2	171.8	206.2	213.8	66	24	13	4.52	29.69848480983499	42	45	0.0546	0.0862	0.1566	0.3854	0.9138	0.8434	0.56	0	0	12	18	35	0	35	14	R
a8	0.6748	0.0856	0.2396	33	148.6	134.2	158.8	182.4	207.3	29.2	155.7	166.9	198.2	209.9	34	17	17	8.86	12.020815280171307	17	25.5	0.0516	0.0546	0.0862	0.9484	0.3854	0.9138	0	0.56	0	13	12	18	89	0	35	R
a1	0.9134	0.0866	0	77	4	163.4	191.7	165.8	252.9	166.6	149	199	238.2	288.7	0	9	15	7.56	6.363961030678928	9	4.5	0.0054	0.0324	0.1302	0.9946	0.9676	0.8698	0	0	0	1	7	26	87	9	16	G
a1	0.9222	0.0778	0	22	160.3	174.1	158.7	203.6	265.5	11.3	149.6	16.4	158.9	324.9	36	40	18	7.99	2.8284271247461903	4	38	0.0866	0.0054	0.0324	0.9134	0.9946	0.9676	0	0	0	15	1	7	77	87	9	G
a8	0.0054	0.0276	0.967	4	170.1	175.3	63	175.4	386.2	1.6	171.7	155.7	173.6	243.6	50	12	6	3.69	26.87005768508881	38	31	0.0856	0.0516	0.0546	0.6748	0.9484	0.3854	0.2396	0	0.56	17	13	12	33	89	0	R
a1	0.8966	0.1034	0	23	14.6	13.1	25.8	42.2	55	189.8	201.1	194.2	201.2	212.3	42	34	24	8.76	5.656854249492381	8	38	0.0778	0.0866	0.0054	0.9222	0.9134	0.9946	0	0	0	18	15	1	22	77	87	G
a8	0.9	0.0366	0.0634	33	172.5	170.7	175.6	262.3	353.3	163.7	152.3	169.7	217.3	273.6	45	13	9	4.59	22.62741699796952	32	29	0.0276	0.0856	0.0516	0.0054	0.6748	0.9484	0.967	0.2396	0	6	17	13	4	33	89	R
a1	0.98	0.02	0	73	79.7	184.8	170.8	261.1	323.8	192.9	148.5	18.9	255.2	385.7	110	29	4	5.9	57.27564927611035	81	69.5	0.1034	0.0778	0.0866	0.8966	0.9222	0.9134	0	0	0	24	18	15	23	22	77	G
a8	0.9294	0.0706	0	71	78.7	20.5	151.7	149.4	321.3	13.8	162.4	162.5	173	194	61	52	16	5.67	6.363961030678928	9	56.5	0.0366	0.0276	0.0856	0.9	0.0054	0.6748	0.0634	0.967	0.2396	9	6	17	33	4	33	G
a8	0.9568	0.0432	0	41	152	161.1	161.6	168.6	171.6	160.5	159.4	38.4	170.3	339.1	40	84	10	3.76	31.11269837220809	44	62	0.0706	0.0366	0.0276	0.9294	0.9	0.0054	0	0.0634	0.967	16	9	6	71	33	4	G
a1	0.9612	0.0388	0	95	195.5	26.3	22.7	399.5	447.4	17.2	178.3	153.8	182.4	208.1	143	26	9	2.46	82.73149339882606	117	84.5	0.02	0.1034	0.0778	0.98	0.8966	0.9222	0	0	0	4	24	18	73	23	22	G
a1	0.9326	0.0674	0	89	197.9	183.4	209.4	266.9	356.8	175.3	162.3	31.6	205.9	353.3	111	50	16	6.31	43.1335136523794	61	80.5	0.0388	0.02	0.1034	0.9612	0.98	0.8966	0	0	0	9	4	24	95	73	23	G
a8	0.9178	0.0822	0	67	193.2	18.7	157.9	388.7	545	142.4	177	157.4	220.3	257.5	72	23	18	4.95	34.64823227814083	49	47.5	0.0432	0.0706	0.0366	0.9568	0.9294	0.9	0	0	0.0634	10	16	9	41	71	33	G
a8	0.7918	0.2082	0	79	159.1	168.7	199.7	199.1	230.5	155.4	217.1	196.4	225.5	281.6	70	24	47	24.61	32.526911934581186	46	47	0.0822	0.0432	0.0706	0.9178	0.9568	0.9294	0	0	0	18	10	16	67	41	71	G
