Anim	Standing	Active	Lying	%HeadDown	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123	X_Act	Y_Act	Steps	distance(m)	VarXY	DiffXY	MeanXY	prev_Active1	prev_Active2	prev_Active3	prev_Standing1	prev_Standing2	prev_Standing3	prev_Lying1	prev_Lying2	prev_Lying3	prev_steps1	prev_steps2	prev_steps3	prev_headdown1	prev_headdown2	prev_headdown3	Activity
a14	0.7498	0.2502	0	65	56.5	4.4	3.1	109.5	114.4	176.5	83.3	37.2	372.1	449.4	161	27	62	41.28	94.75230867899737	134	94	0.1446	0.074	0.1518	0.8554	0.926	0.8482	0	0	0	26	11	33	82	90	85	R
a6	0.922	0.078	0	76	184.6	181	31.5	217.8	380.2	27.4	49	168.4	90.1	271.5	139	21	16	5.71	83.43860018001261	118	80	0.03	0.1964	0.0888	0.97	0.8036	0.9112	0	0	0	7	48	18	89	29	2	G
a11	0.8784	0.1216	0	74	29.7	166.2	165.9	197.4	197.9	48.2	181.4	171	263.1	297.2	120	13	18	4.31	75.66042558696059	107	66.5	0.2638	0.15	0.2392	0.7362	0.85	0.7608	0	0	0	46	26	45	85	70	84	G
a14	0.8924	0.1076	0	57	188	39.6	180.7	363.8	530.6	65.6	179.6	70.2	259.2	432.1	52	9	23	14.93	30.405591591021544	43	30.5	0.2502	0.1446	0.074	0.7498	0.8554	0.926	0	0	0	62	26	11	65	82	90	G
a6	0.9188	0.0812	0	23	20.8	193.3	18.3	212.9	388	169.8	20.2	19.9	338.8	344.7	46	6	19	11.56	28.284271247461906	40	26	0.078	0.03	0.1964	0.922	0.97	0.8036	0	0	0	16	7	48	76	89	29	G
a11	0.853	0.147	0	91	165.2	178.3	26.8	182.4	377.9	25.7	12.1	47.2	57.7	114.9	136	13	24	2.51	86.97413408594535	123	74.5	0.1216	0.2638	0.15	0.8784	0.7362	0.85	0	0	0	18	46	26	74	85	70	G
a14	0.914	0.086	0	63	176	55.5	184.6	330.6	511.5	68.4	165.4	18.6	237.4	414.5	125	23	16	10.14	72.12489168102785	102	74	0.1076	0.2502	0.1446	0.8924	0.7498	0.8554	0	0	0	23	62	26	57	65	82	G
a6	0.8846	0.1154	0	57	11.7	179.5	166.9	180.6	209.9	11.7	48.1	14.9	57.5	112.4	48	47	25	8.93	0.7071067811865476	1	47.5	0.0812	0.078	0.03	0.9188	0.922	0.97	0	0	0	19	16	7	23	76	89	G
a11	0.8902	0.1098	0	80	43.3	18.6	19.7	105.2	123.3	160.3	163.1	66.2	171.6	319.3	101	32	15	7.95	48.79036790187178	69	66.5	0.147	0.1216	0.2638	0.853	0.8784	0.7362	0	0	0	24	18	46	91	74	85	G
a14	0.885	0.115	0	81	42.1	154.5	21.1	181.6	321	42.7	165.5	18.5	188.8	355.6	170	11	24	14.76	112.42997820866104	159	90.5	0.086	0.1076	0.2502	0.914	0.8924	0.7498	0	0	0	16	23	62	63	57	65	G
a11	0.848	0.152	0	66	22.1	62.3	171.2	67.9	279.8	159.7	167	148.6	227.8	280.6	133	38	27	13.74	67.17514421272202	95	85.5	0.1098	0.147	0.1216	0.8902	0.853	0.8784	0	0	0	15	24	18	80	91	74	G
a6	0.915	0.085	0	61	168.9	20.2	41	338.8	359.6	5.9	29.8	170.8	31.2	174.1	62	36	19	11.67	18.384776310850235	26	49	0.1154	0.0812	0.078	0.8846	0.9188	0.922	0	0	0	25	19	16	57	23	76	G
a11	0.6992	0.3008	0	83	185.2	184.7	19.8	226.7	430.6	174.3	194.4	26.3	196.5	389.4	124	35	53	19.53	62.932503525602726	89	79.5	0.152	0.1098	0.147	0.848	0.8902	0.853	0	0	0	27	15	24	66	80	91	G
a6	0.8142	0.1858	0	11	166.8	29.4	18.5	312.9	355.6	175.8	39.6	26.9	363.8	429.4	86	3	43	14.83	58.68986283848344	83	44.5	0.085	0.1154	0.0812	0.915	0.8846	0.9188	0	0	0	19	25	19	61	57	23	G
a14	0.8104	0.1896	0	70	79.2	190.6	27.9	239.9	455.2	26.3	17	6.8	37.4	53.9	178	6	34	14.46	121.62236636408618	172	92	0.115	0.086	0.1076	0.885	0.914	0.8924	0	0	0	24	16	23	81	63	57	G
a14	0.7978	0.2022	0	69	20.5	164.1	178.6	204.6	226.5	164	26.5	35.4	310.2	339.6	185	16	45	21.85	119.50104602052652	169	100.5	0.1896	0.115	0.086	0.8104	0.885	0.914	0	0	0	34	24	16	70	81	63	G
a6	0.8102	0.1898	0	41	11.3	9	16.1	18	32.6	9.7	69.6	4.6	88.2	160.7	38	19	42	17.64	13.435028842544405	19	28.5	0.1858	0.085	0.1154	0.8142	0.915	0.8846	0	0	0	43	19	25	11	61	57	G
a11	0.7412	0.2588	0	89	60.7	63.5	172.9	71.4	274.6	70.2	154.9	213	269.8	382.8	199	43	46	9.37	110.3086578651014	156	121	0.3008	0.152	0.1098	0.6992	0.848	0.8902	0	0	0	53	27	15	83	66	80	G
a11	0.8182	0.1818	0	84	83.3	18.9	180.9	185.5	365.8	15.4	146.9	152	174.4	215.7	179	16	37	15.8	115.25840533340724	163	97.5	0.2588	0.3008	0.152	0.7412	0.6992	0.848	0	0	0	46	53	27	89	83	66	G
